host_response_time,host_listings_count,host_has_profile_pic,neighbourhood,property_type,room_type,accommodates,square_feet,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,amenities_count,amenities_premium_count,professionalism
within an hour,1.0,t,Gràcia,Apartment,Private room,2,,49,3,13,32,95.0,24,3,0.4
,1.0,t,Sants-Montjuïc,Apartment,Private room,1,,75,3,0,1,,26,2,0.15000000000000002
within a few hours,9.0,t,Gràcia,Apartment,Shared room,1,,18,1,324,168,88.0,31,3,0.8375
within an hour,9.0,t,Sants-Montjuïc,Apartment,Entire home/apt,6,,125,2,19,7,89.0,33,1,0.5
within an hour,2.0,t,Ciutat Vella,Apartment,Private room,2,,35,1,46,269,92.0,36,8,0.45
within a few hours,101.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,80,2,318,34,78.0,18,0,0.9375
within a few hours,7.0,t,Ciutat Vella,Apartment,Private room,1,,30,31,83,0,,26,1,0.5375
within an hour,6.0,t,Eixample,Apartment,Private room,3,,65,1,328,57,89.0,28,5,0.9
,2.0,t,Eixample,Apartment,Private room,1,,26,31,157,0,,13,0,0.4
within an hour,5.0,t,Ciutat Vella,Apartment,Private room,2,,39,2,168,69,96.0,17,0,0.65
within an hour,5.0,t,Eixample,Apartment,Private room,3,,40,1,149,5,88.0,16,1,0.65
within an hour,4.0,t,Sant Martí,Apartment,Entire home/apt,6,,174,3,284,165,98.0,45,15,0.75
,1.0,t,Gràcia,Apartment,Private room,2,,35,6,0,4,95.0,11,3,0.15000000000000002
within an hour,31.0,t,Gràcia,House,Entire home/apt,4,,40,32,285,14,86.0,19,1,0.8500000000000001
within an hour,1.0,t,Sant Andreu,House,Private room,2,,30,1,13,29,99.0,29,2,0.4
,2.0,t,Gràcia,Apartment,Private room,2,,45,1,0,1,80.0,10,4,0.2
within an hour,38.0,t,Gràcia,Apartment,Entire home/apt,4,,140,2,280,1,80.0,10,1,0.8500000000000001
within a day,30.0,t,Eixample,Apartment,Entire home/apt,8,,100,32,358,0,,22,0,0.825
within a day,1.0,t,Sant Martí,Apartment,Private room,2,,55,2,38,37,97.0,17,3,0.275
,1.0,t,Nou Barris,Apartment,Shared room,4,,20,30,71,0,,18,2,0.25
within an hour,8.0,t,Horta-Guinardó,Apartment,Private room,4,,55,1,133,5,68.0,17,1,0.7
within an hour,14.0,t,Eixample,Nature lodge,Entire home/apt,6,,5000,2,188,5,80.0,18,0,0.75
within a few hours,1.0,t,Ciutat Vella,Apartment,Private room,2,,80,2,364,1,20.0,21,3,0.7375
within a few hours,2.0,t,Ciutat Vella,Apartment,Private room,7,,41,2,257,64,80.0,31,9,0.6875
within an hour,5.0,t,Eixample,Apartment,Entire home/apt,5,,120,2,277,294,93.0,29,4,0.75
within an hour,9.0,t,Sants-Montjuïc,Serviced apartment,Entire home/apt,4,,91,2,10,182,87.0,38,3,0.5
within an hour,22.0,t,Sants-Montjuïc,Apartment,Entire home/apt,2,,300,1,189,0,,17,2,0.75
,1.0,t,Ciutat Vella,Apartment,Private room,2,,100,2,0,0,,12,2,0.15000000000000002
,2.0,t,Eixample,Apartment,Private room,1,,45,2,52,0,,12,1,0.30000000000000004
within an hour,2.0,t,Sant Martí,Apartment,Private room,2,,67,2,91,10,82.0,32,4,0.55
within an hour,5.0,t,Eixample,Apartment,Private room,3,,59,3,204,80,95.0,45,14,0.75
,2.0,t,Sant Martí,Apartment,Private room,2,,55,1,0,1,,9,4,0.2
within an hour,4.0,t,Eixample,Apartment,Private room,2,,65,1,198,19,99.0,19,1,0.65
within an hour,17.0,t,Les Corts,Apartment,Entire home/apt,6,,120,3,292,52,86.0,21,0,0.8500000000000001
within an hour,2.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,47,2,21,101,88.0,21,4,0.45
within a day,2.0,t,Sants-Montjuïc,Apartment,Entire home/apt,3,,59,30,217,0,,12,1,0.625
within an hour,4.0,t,Sant Martí,Loft,Private room,2,,44,2,335,4,90.0,12,2,0.85
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,60,3,296,1,100.0,8,1,0.7
within an hour,11.0,t,Ciutat Vella,Apartment,Entire home/apt,14,,260,1,265,5,80.0,15,1,0.8500000000000001
within an hour,5.0,t,Eixample,Apartment,Entire home/apt,6,,200,3,165,51,96.0,15,1,0.65
within a day,2.0,t,Gràcia,Apartment,Private room,1,,35,4,287,0,,13,2,0.625
within an hour,1.0,t,Ciutat Vella,Apartment,Entire home/apt,5,,66,32,340,5,96.0,23,3,0.8
within an hour,7.0,t,Sant Martí,Apartment,Entire home/apt,6,,99,3,109,15,76.0,50,15,0.7
within a day,48.0,t,Ciutat Vella,Loft,Entire home/apt,2,,30,32,81,6,83.0,19,3,0.525
within an hour,3.0,t,Sant Martí,Apartment,Private room,4,,79,1,157,2,100.0,8,2,0.65
within a day,6.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,32,60,224,0,,18,1,0.675
within a few hours,1.0,t,Eixample,Apartment,Private room,2,,60,3,58,7,89.0,12,1,0.4375
within a day,5.0,t,Eixample,Apartment,Private room,4,,165,4,0,0,,10,1,0.325
,1.0,t,Eixample,Apartment,Private room,1,,21,1,0,1,,7,1,0.15000000000000002
within a few hours,49.0,t,Sant Martí,Apartment,Entire home/apt,8,,890,1,335,0,,22,3,0.8875
within an hour,2.0,t,Sants-Montjuïc,Apartment,Private room,2,,25,2,44,4,85.0,12,1,0.45
within a few hours,1.0,t,Sarrià-Sant Gervasi,Apartment,Private room,2,,35,2,218,69,93.0,22,6,0.6375
,1.0,t,Ciutat Vella,Apartment,Private room,2,,49,2,18,12,97.0,9,3,0.15000000000000002
within an hour,12.0,t,Sant Martí,Apartment,Private room,2,,30,2,0,50,86.0,12,1,0.55
within an hour,6.0,t,Gràcia,Apartment,Entire home/apt,6,,500,1,144,2,70.0,29,2,0.7
within an hour,3.0,t,Ciutat Vella,Apartment,Private room,2,,27,1,185,486,92.0,66,32,0.65
within an hour,131.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,41,1,78,1,100.0,14,1,0.7
within an hour,2.0,t,Ciutat Vella,Apartment,Private room,2,,33,1,31,272,94.0,12,4,0.45
within an hour,3.0,t,Eixample,Apartment,Entire home/apt,4,,90,2,165,12,88.0,23,0,0.65
within an hour,1.0,t,Eixample,Apartment,Entire home/apt,6,,120,3,13,54,93.0,18,0,0.4
,1.0,t,Ciutat Vella,Apartment,Private room,1,,50,4,190,17,98.0,13,4,0.35
within an hour,23.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,52,31,98,6,80.0,16,1,0.65
within a day,72.0,t,Eixample,Apartment,Entire home/apt,5,,110,3,17,16,93.0,22,0,0.475
within an hour,4.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,100,1,107,1,100.0,28,6,0.65
within an hour,3.0,t,Sant Martí,Apartment,Private room,2,,75,1,316,2,100.0,19,2,0.85
within an hour,5.0,t,Eixample,Apartment,Private room,2,,45,1,47,24,89.0,19,1,0.45
within a few hours,101.0,t,Sants-Montjuïc,Apartment,Entire home/apt,5,,110,3,274,11,67.0,14,0,0.8375
within a day,3.0,t,Sant Martí,Apartment,Private room,1,,25,2,337,34,85.0,12,1,0.725
within a few hours,2.0,t,Sants-Montjuïc,Bed and breakfast,Shared room,9,,45,1,365,4,80.0,8,2,0.7875
within an hour,14.0,t,Ciutat Vella,Apartment,Private room,4,,120,3,344,7,89.0,18,2,0.95
within a day,5.0,t,Sant Martí,Apartment,Private room,2,,59,2,181,0,,14,1,0.525
within an hour,2.0,t,Les Corts,Apartment,Private room,4,,60,2,25,1,100.0,34,7,0.45
within an hour,4.0,t,Eixample,Apartment,Private room,1,,18,60,341,0,,14,1,0.85
,1.0,t,Sant Martí,Apartment,Private room,2,,22,1,0,24,79.0,6,1,0.15000000000000002
within an hour,18.0,t,Eixample,Apartment,Private room,4,,38,1,301,0,,28,1,0.95
within a few hours,2.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,38,31,160,0,,9,1,0.5875
within a few hours,1.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,90,1,48,5,80.0,17,1,0.3375
within a day,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,220,3,0,0,,14,1,0.275
within an hour,0.0,t,Eixample,Apartment,Private room,2,,49,2,68,19,94.0,25,2,0.45
,1.0,t,Sant Andreu,Guest suite,Private room,2,,45,2,0,11,98.0,5,1,0.15000000000000002
within an hour,17.0,t,Eixample,Apartment,Entire home/apt,4,,125,3,270,0,,12,0,0.8500000000000001
,1.0,t,Ciutat Vella,Apartment,Private room,2,,30,3,0,3,93.0,12,3,0.15000000000000002
within an hour,2.0,t,Eixample,Apartment,Private room,2,,50,1,223,0,,10,0,0.75
within an hour,1.0,t,Sant Martí,Apartment,Entire home/apt,4,,185,3,37,4,90.0,7,2,0.4
within an hour,55.0,t,Horta-Guinardó,Apartment,Entire home/apt,8,,108,2,189,67,87.0,16,2,0.8
,1.0,t,Sant Martí,Apartment,Private room,1,,20,1,0,0,,12,1,0.15000000000000002
,1.0,t,Eixample,Apartment,Private room,1,,21,80,0,11,100.0,10,1,0.15000000000000002
within an hour,77.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,104,1,298,6,93.0,14,1,0.9
,1.0,t,Sarrià-Sant Gervasi,Apartment,Private room,2,,40,7,27,0,,30,4,0.15000000000000002
within an hour,1.0,t,Sarrià-Sant Gervasi,Apartment,Private room,1,,28,1,334,5,100.0,28,2,0.8
,2.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,125,6,0,0,,9,1,0.2
,1.0,t,Sants-Montjuïc,Apartment,Private room,1,,50,1,0,1,80.0,7,4,0.15000000000000002
a few days or more,1.0,t,Sants-Montjuïc,Apartment,Private room,1,,50,5,89,0,,16,1,0.3125
,0.0,t,Sants-Montjuïc,Apartment,Private room,1,,60,6,312,0,,7,2,0.5
within an hour,0.0,t,Eixample,Apartment,Private room,1,,35,2,9,0,,10,1,0.35
within an hour,3.0,t,Eixample,Apartment,Entire home/apt,5,,55,1,236,310,97.0,23,3,0.75
within an hour,14.0,t,Eixample,Hotel,Private room,2,,6000,1,346,2,90.0,13,4,0.95
within an hour,0.0,t,Ciutat Vella,Apartment,Private room,2,,35,2,265,1,100.0,11,1,0.65
within an hour,1.0,t,Eixample,Guest suite,Private room,1,,28,2,319,111,91.0,9,1,0.8
within an hour,3.0,t,Sant Martí,Apartment,Private room,2,,50,2,46,239,92.0,25,5,0.45
within an hour,2.0,t,Eixample,Apartment,Private room,2,,52,2,77,27,92.0,22,1,0.55
,1.0,t,Sants-Montjuïc,Apartment,Private room,1,,45,1,0,0,,18,3,0.15000000000000002
within an hour,0.0,t,Eixample,Apartment,Entire home/apt,5,,109,2,85,0,,24,1,0.45
within an hour,206.0,t,Eixample,Apartment,Entire home/apt,7,,600,2,336,5,76.0,25,3,1.0
within an hour,19.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,126,1,201,41,89.0,22,0,0.8500000000000001
within a few hours,3.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,31,31,266,10,100.0,21,1,0.6875
within an hour,50.0,t,Sant Martí,Apartment,Entire home/apt,6,,170,3,314,63,93.0,36,3,0.95
within an hour,3.0,t,Sants-Montjuïc,Apartment,Entire home/apt,5,,100,2,36,3,93.0,15,1,0.45
within an hour,3.0,t,Nou Barris,Apartment,Private room,2,,80,2,172,1,100.0,16,1,0.65
within an hour,1.0,t,Sants-Montjuïc,Apartment,Private room,2,0.0,30,2,0,59,90.0,14,2,0.4
within a day,72.0,t,Eixample,Apartment,Entire home/apt,6,,150,32,162,0,,17,0,0.675
within an hour,1.0,t,Eixample,Apartment,Private room,1,,33,3,24,53,98.0,21,4,0.4
within an hour,131.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,128,1,298,15,89.0,14,1,0.9
,0.0,t,Sant Martí,Apartment,Private room,1,,20,1,211,1,100.0,11,1,0.4
within a few hours,0.0,t,Ciutat Vella,Apartment,Private room,4,,50,3,31,66,84.0,15,1,0.2875
within a day,1.0,t,Nou Barris,Apartment,Private room,4,,150,1,90,0,,39,12,0.375
within an hour,4.0,t,Ciutat Vella,Apartment,Entire home/apt,5,,200,3,270,166,96.0,36,1,0.75
,2.0,t,Sant Andreu,Apartment,Private room,2,,50,1,0,0,,12,2,0.2
within a few hours,11.0,t,Eixample,Apartment,Entire home/apt,3,,53,32,334,0,,28,2,0.8875
within an hour,2.0,t,Horta-Guinardó,Apartment,Private room,2,,40,1,33,16,98.0,44,9,0.45
within a day,2.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,40,32,334,5,80.0,16,1,0.725
within an hour,2.0,t,Eixample,Apartment,Private room,2,,49,2,6,53,100.0,47,10,0.45
within an hour,10.0,t,Eixample,Hostel,Private room,6,,170,1,219,11,87.0,34,7,0.8
within an hour,5.0,t,Gràcia,House,Private room,2,,19,1,44,109,90.0,14,6,0.45
within a few hours,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,33,4,125,14,96.0,21,2,0.5375
,2.0,t,Les Corts,Apartment,Private room,1,,14,1,0,2,50.0,14,3,0.2
within an hour,6.0,t,Sant Martí,Apartment,Entire home/apt,2,,40,32,192,1,100.0,31,2,0.7
a few days or more,39.0,t,Ciutat Vella,Apartment,Entire home/apt,5,,95,1,357,0,,29,2,0.7625
within a day,2.0,t,Gràcia,Casa particular (Cuba),Private room,2,,54,2,151,31,98.0,15,5,0.525
within an hour,111.0,t,Eixample,Apartment,Entire home/apt,6,,383,4,267,141,92.0,28,3,0.9
within an hour,39.0,t,Eixample,Apartment,Entire home/apt,4,,70,3,162,1,80.0,11,1,0.75
within a day,1.0,t,Sant Martí,Apartment,Private room,3,,75,2,344,5,100.0,11,2,0.675
within an hour,3.0,t,Gràcia,Aparthotel,Entire home/apt,6,,151,1,334,1,20.0,32,3,0.85
within an hour,1.0,t,Eixample,Apartment,Entire home/apt,6,,150,3,27,76,96.0,34,3,0.4
,1.0,t,Sant Martí,Apartment,Private room,2,,40,1,0,3,93.0,15,2,0.15000000000000002
within an hour,7.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,137,1,316,28,86.0,20,1,0.9
within a few hours,3.0,t,Sant Martí,Apartment,Private room,1,,14,31,41,3,100.0,17,1,0.3875
within a day,71.0,t,Sants-Montjuïc,Apartment,Entire home/apt,6,,90,1,365,0,,31,2,0.875
within a few hours,2.0,t,Sants-Montjuïc,Apartment,Private room,1,,13,1,0,71,89.0,17,0,0.3875
within a few hours,101.0,t,Eixample,Apartment,Entire home/apt,5,,150,3,313,25,83.0,19,1,0.9375
within an hour,3.0,t,Eixample,Apartment,Entire home/apt,7,,60,1,56,184,90.0,29,1,0.55
within an hour,11.0,t,Eixample,Serviced apartment,Entire home/apt,9,,90,2,126,11,85.0,15,0,0.75
within an hour,2.0,t,Eixample,Apartment,Entire home/apt,4,,90,3,220,7,97.0,46,15,0.75
within an hour,32.0,t,Sant Martí,Apartment,Private room,2,,32,1,73,0,,64,24,0.65
within a day,21.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,38,31,247,0,,9,1,0.7250000000000001
within an hour,126.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,45,32,73,0,,8,1,0.7
within an hour,8.0,t,Sants-Montjuïc,Apartment,Entire home/apt,2,,69,4,125,160,96.0,35,2,0.7
within a day,2.0,t,Eixample,Apartment,Private room,2,,40,2,22,237,98.0,19,2,0.325
within an hour,4.0,t,Eixample,Serviced apartment,Entire home/apt,4,,300,3,137,0,,14,1,0.65
within an hour,2.0,t,Ciutat Vella,Loft,Entire home/apt,2,,85,3,34,11,85.0,10,1,0.45
within an hour,2.0,t,Sant Martí,Apartment,Private room,2,,40,3,293,84,90.0,12,4,0.75
within a few hours,101.0,t,Sant Martí,Apartment,Entire home/apt,4,,100,3,229,57,89.0,15,1,0.8375
within an hour,1.0,t,Ciutat Vella,Apartment,Entire home/apt,4,,170,3,52,9,78.0,6,1,0.5
within an hour,2.0,t,Eixample,Apartment,Private room,2,,69,2,70,5,88.0,39,9,0.55
,0.0,t,Sarrià-Sant Gervasi,Apartment,Entire home/apt,4,,179,6,75,1,100.0,19,2,0.2
,1.0,t,Eixample,Apartment,Entire home/apt,2,,50,32,293,6,92.0,26,2,0.45
within an hour,1.0,t,Gràcia,Apartment,Private room,2,,89,3,0,9,98.0,12,1,0.4
a few days or more,7.0,t,Horta-Guinardó,Boutique hotel,Private room,3,,150,1,347,0,,12,6,0.7125
within an hour,2.0,t,Sants-Montjuïc,Apartment,Private room,1,,30,1,127,141,98.0,23,3,0.65
within an hour,12.0,t,Sant Martí,Apartment,Shared room,2,,8,1,353,21,89.0,11,1,0.95
within an hour,4.0,t,Eixample,Apartment,Private room,2,,55,2,156,1,20.0,15,0,0.65
within an hour,8.0,t,Sants-Montjuïc,Apartment,Entire home/apt,6,,76,30,298,1,100.0,25,3,0.8
within an hour,1.0,t,Sants-Montjuïc,Apartment,Private room,1,,25,1,282,17,91.0,25,3,0.7
within an hour,10.0,t,Ciutat Vella,Apartment,Entire home/apt,8,,400,1,74,17,83.0,42,10,0.6
within an hour,24.0,t,Eixample,Serviced apartment,Entire home/apt,2,,61,31,130,1,100.0,23,1,0.75
within an hour,19.0,t,Sants-Montjuïc,Apartment,Entire home/apt,3,,110,1,274,39,85.0,23,1,0.8500000000000001
within an hour,3.0,t,Eixample,Apartment,Private room,2,,45,1,179,1,100.0,4,1,0.65
within a day,3.0,t,Eixample,Apartment,Entire home/apt,4,,100,2,277,71,98.0,17,1,0.625
within a day,0.0,t,Sant Andreu,Apartment,Private room,1,,30,2,80,0,,29,5,0.325
within an hour,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,30,1,15,340,96.0,27,4,0.4
,2.0,t,Ciutat Vella,Apartment,Private room,2,,34,3,0,0,,11,1,0.2
within an hour,5.0,t,Sants-Montjuïc,Apartment,Entire home/apt,4,,500,2,296,0,,11,2,0.75
,1.0,t,Eixample,Apartment,Private room,2,,29,1,0,0,,10,1,0.15000000000000002
within an hour,49.0,t,Eixample,Apartment,Entire home/apt,6,,158,1,298,7,100.0,21,1,0.8500000000000001
within an hour,21.0,t,Eixample,Hostel,Private room,2,,75,1,30,0,,9,2,0.55
within a day,3.0,t,Sant Martí,Apartment,Private room,2,,41,2,335,33,83.0,2,2,0.725
within an hour,9.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,15,31,354,1,100.0,15,1,0.9
within an hour,1.0,t,Sant Martí,Apartment,Entire home/apt,4,,100,32,316,0,,15,1,0.8
within an hour,22.0,t,Sarrià-Sant Gervasi,Apartment,Private room,2,,38,3,90,6,73.0,23,4,0.65
within an hour,0.0,t,Eixample,Apartment,Entire home/apt,4,,109,2,71,0,,27,2,0.45
,1.0,t,Sant Andreu,Apartment,Private room,2,,25,1,0,5,75.0,12,1,0.15000000000000002
within an hour,1.0,t,Eixample,Apartment,Entire home/apt,5,1023.0,123,3,292,63,97.0,49,14,0.7
within an hour,21.0,t,Eixample,Serviced apartment,Entire home/apt,2,,175,2,214,4,95.0,25,1,0.8500000000000001
within an hour,0.0,t,Sant Martí,Bed and breakfast,Private room,2,,65,1,13,0,,11,2,0.35
within a day,48.0,t,Eixample,Apartment,Entire home/apt,4,,79,32,0,0,,15,1,0.42500000000000004
within an hour,111.0,t,Gràcia,Apartment,Entire home/apt,3,,200,7,143,10,98.0,19,0,0.8
within a few hours,6.0,t,Eixample,Apartment,Private room,2,,24,32,29,2,100.0,19,4,0.4375
within an hour,2.0,t,Gràcia,Apartment,Entire home/apt,6,,200,2,149,7,94.0,34,3,0.65
,2.0,t,Gràcia,Apartment,Entire home/apt,3,,190,32,364,0,,22,3,0.6
within an hour,3.0,t,Eixample,Apartment,Entire home/apt,5,,80,3,62,200,95.0,32,1,0.55
within an hour,22.0,t,Gràcia,Apartment,Entire home/apt,5,,145,3,294,6,97.0,14,0,0.8500000000000001
within an hour,10.0,t,Sants-Montjuïc,Apartment,Private room,2,,20,1,44,4,80.0,6,1,0.5
,2.0,t,Gràcia,Apartment,Entire home/apt,7,,185,32,253,60,96.0,46,9,0.5
within an hour,1.0,t,Sants-Montjuïc,Apartment,Private room,2,,50,3,30,83,95.0,16,1,0.4
within a few hours,17.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,47,32,243,3,100.0,12,1,0.7875000000000001
within an hour,1.0,t,Eixample,Apartment,Private room,1,0.0,39,2,290,13,89.0,17,1,0.7
within an hour,55.0,t,Horta-Guinardó,Apartment,Entire home/apt,2,,70,1,201,0,,13,2,0.9
,2.0,t,Horta-Guinardó,Apartment,Private room,1,,18,31,251,0,,7,1,0.5
,1.0,t,Sant Martí,Apartment,Private room,2,,50,2,0,24,98.0,14,3,0.15000000000000002
within an hour,126.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,66,32,246,0,,7,1,0.9
within an hour,4.0,t,Eixample,Apartment,Entire home/apt,4,,200,3,321,186,99.0,46,8,0.85
,1.0,t,Ciutat Vella,Apartment,Private room,4,,60,1,0,2,80.0,16,1,0.15000000000000002
a few days or more,2.0,t,Eixample,Boutique hotel,Private room,2,,999,1,326,0,,8,1,0.6625
within a day,1.0,t,Eixample,Apartment,Private room,2,,40,2,11,16,95.0,12,1,0.275
within an hour,19.0,t,Eixample,Apartment,Entire home/apt,6,,300,2,324,45,95.0,36,4,0.95
within an hour,3.0,t,Eixample,Apartment,Entire home/apt,6,,75,1,351,7,74.0,20,2,0.85
within an hour,37.0,t,Eixample,Apartment,Entire home/apt,5,0.0,84,1,295,145,93.0,25,3,0.8500000000000001
within a few hours,12.0,t,Sant Martí,Boat,Entire home/apt,3,,200,2,365,13,88.0,12,1,0.8875
within an hour,37.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,26,88,296,1,100.0,17,0,0.8500000000000001
within a few hours,4.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,105,31,75,0,,21,0,0.48750000000000004
within an hour,8.0,t,Eixample,Apartment,Private room,2,,60,3,15,62,95.0,21,3,0.5
within a day,10.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,50,31,308,1,100.0,13,1,0.775
within an hour,3.0,t,Eixample,Apartment,Private room,4,,154,1,159,24,99.0,20,0,0.65
within a few hours,2.0,t,Sant Martí,Apartment,Private room,2,,35,1,318,47,92.0,6,1,0.7875
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,70,3,304,188,96.0,17,3,0.8
within a few hours,58.0,t,Eixample,Apartment,Entire home/apt,4,,100,32,138,0,,27,2,0.7375
within a day,10.0,t,Ciutat Vella,Apartment,Private room,1,,35,32,35,3,100.0,13,2,0.375
within an hour,15.0,t,Eixample,Loft,Entire home/apt,4,,61,30,267,0,,23,0,0.8500000000000001
within an hour,520.0,t,Eixample,Apartment,Entire home/apt,6,,85,1,273,45,90.0,11,1,0.9
within a few hours,10.0,t,Les Corts,Apartment,Private room,1,,11,150,343,1,20.0,13,1,0.8375
within a day,71.0,t,Ciutat Vella,Apartment,Entire home/apt,6,,160,3,364,1,40.0,30,2,0.875
within an hour,131.0,t,Gràcia,Apartment,Entire home/apt,4,,65,32,339,1,,12,1,1.0
within a few hours,1.0,t,Eixample,Apartment,Entire home/apt,4,,59,2,245,304,93.0,26,0,0.6375
within a day,72.0,t,Gràcia,Apartment,Entire home/apt,2,,75,3,16,7,86.0,19,1,0.475
a few days or more,8.0,t,Sants-Montjuïc,Casa particular (Cuba),Entire home/apt,4,,3000,1,190,0,,6,2,0.5125
,1.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,100,31,37,0,,10,1,0.15000000000000002
within a few hours,2.0,t,Ciutat Vella,Apartment,Private room,2,,31,29,299,0,,11,2,0.6875
within a few hours,1.0,t,Eixample,Other,Entire home/apt,5,,130,31,90,0,,17,2,0.4375
within a few hours,2.0,t,Eixample,Apartment,Private room,1,,35,1,180,1,80.0,14,0,0.5875
within a day,5.0,t,Ciutat Vella,Aparthotel,Entire home/apt,2,,84,1,306,0,,30,2,0.725
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,45,3,5,115,96.0,13,2,0.4
,1.0,t,Sant Martí,Apartment,Private room,2,,23,1,221,41,95.0,21,1,0.45
within an hour,10.0,t,Sants-Montjuïc,Apartment,Entire home/apt,6,,145,1,99,27,84.0,18,1,0.6
,2.0,t,Sant Martí,Apartment,Private room,2,,30,14,0,0,,11,1,0.2
within an hour,2.0,t,Sants-Montjuïc,Apartment,Private room,2,,40,1,191,32,98.0,9,2,0.65
,1.0,t,Eixample,Guest suite,Private room,2,,70,2,0,0,,9,1,0.15000000000000002
within an hour,2.0,t,Sant Martí,Bed and breakfast,Private room,2,,60,1,149,2,90.0,17,2,0.65
within a day,6.0,t,Ciutat Vella,Apartment,Entire home/apt,2,,60,32,312,8,87.0,18,2,0.775
,0.0,t,Ciutat Vella,Apartment,Private room,2,,100,2,332,0,,12,1,0.5
within a few hours,4.0,t,Eixample,Apartment,Private room,4,,80,5,17,0,,14,1,0.3875
a few days or more,7.0,t,Horta-Guinardó,Boutique hotel,Private room,2,,150,1,336,0,,21,7,0.7125
within an hour,8.0,t,Sants-Montjuïc,Apartment,Private room,2,,45,3,10,0,,17,1,0.5
within an hour,5.0,t,Sants-Montjuïc,Apartment,Private room,2,,30,1,265,45,79.0,20,0,0.75
,1.0,t,Sarrià-Sant Gervasi,Guest suite,Private room,2,,50,30,365,1,60.0,10,1,0.55
within an hour,1.0,t,Ciutat Vella,Apartment,Private room,2,,50,1,154,0,,18,2,0.6
within an hour,4.0,t,Ciutat Vella,Apartment,Entire home/apt,7,,200,2,59,0,,13,1,0.55
within an hour,1.0,t,Gràcia,Guest suite,Private room,2,,70,1,126,59,94.0,28,5,0.6
within a day,77.0,t,Gràcia,Serviced apartment,Private room,1,,25,3,201,1,100.0,18,3,0.775
,1.0,t,Ciutat Vella,Apartment,Private room,2,,40,1,0,5,92.0,6,1,0.15000000000000002
within an hour,34.0,t,Sant Martí,Apartment,Entire home/apt,5,,85,1,132,0,,28,2,0.75
within a day,71.0,t,Eixample,Apartment,Entire home/apt,4,,100,1,301,2,80.0,30,1,0.875
within an hour,3.0,t,Ciutat Vella,Apartment,Private room,4,,80,1,55,0,,13,2,0.55
within an hour,2.0,t,Eixample,Apartment,Private room,4,,50,2,336,9,89.0,30,3,0.85
within an hour,2.0,t,Les Corts,Apartment,Private room,2,,47,1,0,22,95.0,9,1,0.45
within a few hours,9.0,t,Gràcia,Apartment,Entire home/apt,10,,55,1,117,18,88.0,20,2,0.6375
within an hour,10.0,t,Eixample,Apartment,Entire home/apt,8,,210,3,314,22,95.0,32,2,0.9
within an hour,49.0,t,Sant Martí,Apartment,Entire home/apt,10,,216,1,288,49,94.0,24,3,0.8500000000000001
within an hour,62.0,t,Eixample,Serviced apartment,Entire home/apt,6,,599,2,315,10,96.0,35,3,1.0
within a day,5.0,t,Eixample,Aparthotel,Entire home/apt,4,,219,1,333,2,90.0,30,2,0.725
within a day,5.0,t,Gràcia,House,Private room,2,,28,30,250,0,,17,2,0.625
within a day,1.0,t,Ciutat Vella,Apartment,Private room,2,,29,1,0,25,83.0,11,2,0.275
within a day,6.0,t,Eixample,Apartment,Entire home/apt,8,,169,2,55,175,92.0,32,3,0.475
within an hour,65.0,t,Gràcia,Apartment,Entire home/apt,2,,999,2,144,2,90.0,8,1,0.8
within an hour,3.0,t,Ciutat Vella,Apartment,Entire home/apt,7,,110,1,0,0,,10,1,0.45
within a few hours,3.0,t,Ciutat Vella,Apartment,Entire home/apt,3,,70,32,203,0,,22,1,0.6875
within a day,1.0,t,Sant Martí,House,Private room,2,,50,1,17,16,90.0,8,1,0.275
,1.0,t,Les Corts,Apartment,Private room,3,,25,1,0,2,100.0,16,1,0.15000000000000002
